Timestamp,StatusCode,E2ELatency
1,200,36.395
3,200,2.455
3,200,1.483
6,200,2.518
9,200,2.597
10,200,1.5
10,200,1.479
12,200,2.619
12,200,1.402
12,200,1.52
13,200,1.447
16,200,2.697
16,200,1.434
16,200,1.495
17,200,1.476
17,200,1.457
17,200,1.403
17,200,1.495
17,200,1.421
17,200,1.427
19,200,2.397
21,200,2.55
22,200,1.486
22,200,1.549
22,200,1.693
22,200,1.462
24,200,2.534
25,200,1.498
25,200,1.464
25,200,1.553
26,200,1.483
26,200,1.631
27,200,1.507
31,200,2.713
31,200,1.507
31,200,1.564
31,200,1.566
33,200,2.343
33,200,1.527
33,200,1.587
33,200,1.788
33,200,1.567
33,200,1.522
35,200,2.687
37,200,2.668
38,200,1.499
41,200,2.524
43,200,2.647
43,200,1.674
44,200,1.431
44,200,1.582
44,200,1.513
45,200,1.424
46,200,1.522
46,200,1.96
47,200,1.419
50,200,2.743
51,200,1.557
53,200,2.74
56,200,2.851
56,200,1.889
57,200,1.468
57,200,1.485
57,200,1.499
62,200,2.923
64,200,2.602
64,200,2.088
64,200,1.551
65,200,1.45
66,200,1.502
67,200,1.508
67,200,1.531
68,200,1.476
68,200,2.627
69,200,1.41
70,200,1.552
70,200,1.438
70,200,1.519
70,200,1.46
71,200,1.438
72,200,1.528
73,200,1.498
73,200,2.639
74,200,1.414
75,200,1.484
76,200,1.501
76,200,1.586
77,200,1.451
78,200,1.573
79,200,2.432
79,200,1.587
88,200,37.437
90,200,2.47
91,200,1.572
91,200,1.513
91,200,1.653
91,200,1.574
92,200,1.556
92,200,1.64
92,200,1.751
96,200,2.647
97,200,1.707
98,200,1.689
99,200,1.557
100,200,1.7
101,200,2.817
104,200,2.842
104,200,1.494
104,200,1.535
104,200,1.57
104,200,1.467
106,200,2.585
108,200,2.645
108,200,1.549
109,200,1.494
109,200,1.869
110,200,1.597
110,200,1.687
113,200,2.853
114,200,1.693
115,200,1.617
115,200,1.825
115,200,1.578
116,200,2.257
117,200,1.643
118,200,2.506
119,200,1.55
119,200,1.552
119,200,1.585
122,200,2.909
122,200,1.585
122,200,1.585
123,200,1.551
129,200,36.481
129,200,32.901
129,200,1.403
137,200,3.366
137,200,1.595
137,200,1.646
137,200,1.739
142,200,3.008
142,200,1.533
143,200,1.696
143,200,1.614
143,200,1.576
145,200,2.611
149,200,2.938
149,200,1.564
149,200,1.649
152,200,2.703
156,200,3.046
156,200,1.539
160,200,2.84
160,200,1.593
160,200,1.591
160,200,1.597
160,200,1.677
160,200,1.661
161,200,1.577
162,200,1.63
162,200,1.57
164,200,2.483
168,200,37.121
169,200,2.006
171,200,2.8
171,200,1.582
171,200,1.634
171,200,1.731
173,200,2.493
174,200,1.649
175,200,1.672
175,200,1.591
175,200,1.616
176,200,1.693
181,200,3.108
182,200,1.626
183,200,1.795
184,200,1.647
186,200,2.597
187,200,1.69
189,200,2.663
189,200,1.824
189,200,1.62
190,200,1.613
191,200,1.668
191,200,1.797
192,200,1.688
194,200,2.986
195,200,1.731
195,200,1.671
195,200,1.653
196,200,1.711
196,200,1.606
197,200,1.757
200,200,2.964
200,200,1.603
208,200,37.252
210,200,2.531
213,200,2.686
217,200,2.779
217,200,1.554
217,200,1.773
221,200,2.847
222,200,1.575
224,200,2.596
226,200,2.757
226,200,1.599
226,200,1.9
226,200,1.562
227,200,1.502
227,200,1.69
229,200,2.416
231,200,2.508
231,200,1.678
231,200,2.819
232,200,2.139
232,200,1.756
232,200,1.71
233,200,1.601
233,200,1.643
233,200,1.665
235,200,2.728
235,200,2.25
236,200,1.647
236,200,1.618
238,200,2.581
239,200,37.167
239,200,2.86
240,200,1.622
243,200,2.875
243,200,1.62
243,200,2.119
244,200,1.696
244,200,3.162
245,200,2.066
246,200,1.616
247,200,1.738
247,200,2.986
247,200,1.605
247,200,1.728
247,200,1.624
249,200,2.732
252,200,2.621
252,200,1.574
252,200,1.696
254,200,2.6
256,200,2.822
259,200,2.873
261,200,2.57
265,200,3.065
268,200,3.167
270,200,2.961
270,200,2.01
270,200,2.08
270,200,1.612
272,200,2.6
272,200,1.699
273,200,1.619
273,200,1.545
273,200,1.91
273,200,1.63
274,200,1.59
274,200,1.691
275,200,1.727
277,200,2.626
279,200,2.714
279,200,1.684
281,200,2.698
282,200,1.694
284,200,2.679
284,200,1.673
284,200,1.773
288,200,2.881
290,200,2.822
291,200,1.681
291,200,1.686
292,200,1.644
294,200,2.805
297,200,2.871
298,200,1.616
304,200,39.446
307,200,2.818
312,200,2.971
315,200,2.572
315,200,1.711
320,200,3.288
321,200,1.698
321,200,1.618
322,200,1.734
322,200,1.847
322,200,1.9
324,200,2.643
332,200,38.658
334,200,2.548
341,200,38.991
342,200,2.293
344,200,3.787
349,200,3.346
349,200,2.738
349,200,2.481
354,200,3.753
369,200,38.482
376,200,36.41
381,200,3.243
388,200,36.2
393,200,2.734
398,200,2.799
400,200,2.693
405,200,2.719
417,200,35.543
417,200,39.447
419,200,1.688
422,200,2.898
432,200,4.079
437,200,2.754
441,200,2.704
441,200,1.505
441,200,1.492
446,200,3.009
452,200,37.84
458,200,34.44
458,200,36.464
458,200,1.363
459,200,1.551
462,200,2.723
464,200,2.703
468,200,2.697
489,200,37.898
489,200,33.038
494,200,3.421
528,200,36.721
528,200,36.945
541,200,38.638
545,200,2.753
563,200,38.216
570,200,37.418
576,200,3.517
576,200,1.659
582,200,38.166
582,200,38.809
583,200,1.597
607,200,36.287
620,200,37.885
623,200,2.628
625,200,2.564
642,200,35.783
649,200,37.423
672,200,37.352
677,200,2.792
678,200,1.617
683,200,3.056
688,200,2.775
698,200,36.219
709,200,37.753
718,200,36.217
724,200,36.816
734,200,38.998
734,200,35.694
735,200,1.596
746,200,37.65
747,200,36.85
748,200,1.83
750,200,3.079
754,200,3.047
756,200,3.336
762,200,36.139
762,200,37.375
762,200,1.47
770,200,3.514
773,200,36.678
779,200,2.777
779,200,1.698
780,200,1.496
783,200,2.714
788,200,3.294
796,200,37.236
796,200,38.914
806,200,6.738
806,200,4.022
806,200,3.545
806,200,3.106
810,200,4.15
815,200,4.729
818,200,3.997
819,200,3.083
819,200,3.619
819,200,2.724
823,200,5.561
824,200,2.616
829,200,5.064
837,200,38.316
841,200,3.072
841,200,1.549
841,200,1.66
841,200,1.505
844,200,2.622
845,200,1.932
845,200,1.885
849,200,2.708
850,200,1.617
850,200,1.797
852,200,2.7
852,200,1.686
853,200,1.548
854,200,1.708
856,200,2.806
858,200,2.524
858,200,1.902
860,200,2.612
860,200,1.694
860,200,1.698
861,200,1.6
864,200,2.718
865,200,1.691
866,200,1.621
866,200,1.668
882,200,36.953
882,200,36.187
884,200,1.671
890,200,2.886
891,200,36.39
893,200,3.07
894,200,1.83
901,200,36.754
905,200,2.877
907,200,2.522
907,200,1.648
909,200,2.418
909,200,1.699
912,200,2.794
912,200,1.558
912,200,1.543
912,200,1.497
913,200,1.457
913,200,1.585
914,200,1.526
917,200,3.064
918,200,1.59
923,200,2.938
924,200,1.661
925,200,1.668
928,200,2.839
930,200,2.621
932,200,2.838
932,200,1.697
932,200,1.578
937,200,2.974
937,200,1.577
938,200,1.509
939,200,1.622
942,200,2.581
946,200,2.783
948,200,2.551
948,200,1.654
949,200,1.494
951,200,2.589
952,200,1.571
955,200,2.749
956,200,1.643
956,200,1.624
956,200,1.637
956,200,1.576
959,200,2.781
959,200,1.81
959,200,1.599
962,200,2.676
963,200,1.698
964,200,1.544
965,200,1.588
966,200,1.602
967,200,2.543
968,200,1.542
968,200,1.503
968,200,1.557
968,200,1.49
969,200,1.467
969,200,1.616
970,200,1.555
970,200,1.7
974,200,2.899
975,200,1.652
975,200,1.625
975,200,1.56
976,200,1.524
976,200,1.535
976,200,1.542
976,200,1.562
977,200,1.642
980,200,2.903
983,200,2.626
983,200,36.383
983,200,37.262
984,200,1.521
984,200,1.731
986,200,2.727
986,200,1.585
987,200,1.541
988,200,1.664
988,200,1.772
988,200,4.682
988,200,1.816
988,200,1.687
989,200,1.785
989,200,1.783
991,200,2.811
991,200,1.786
992,200,1.499
993,200,1.61
995,200,2.735
998,200,2.882
999,200,1.649
999,200,1.909
1006,200,37.174
1007,200,1.666
1007,200,1.683
1007,200,1.786
1007,200,1.812
1007,200,1.695
1008,200,1.698
1008,200,1.737
1008,200,1.799
1008,200,1.858
1008,200,1.617
1009,200,1.778
1011,200,3.072
1014,200,2.939
1016,200,3.234
1017,200,1.919
1019,200,3.293
1019,200,1.899
1019,200,1.981
1019,200,2.002
1019,200,1.926
1019,200,1.886
1020,200,1.866
1020,200,1.885
1020,200,2.179
1022,200,2.714
1024,200,2.953
1024,200,1.903
1025,200,1.796
1031,200,36.604
1031,200,36.215
1031,200,37.205
1031,200,2.285
1031,200,1.561
1032,200,1.529
1033,200,1.508
1033,200,1.453
1033,200,1.461
1033,200,1.401
1033,200,1.5
1034,200,1.475
1037,200,2.513
1037,200,1.373
1037,200,1.518
1037,200,1.413
1037,200,1.556
1038,200,1.436
1038,200,1.428
1039,200,1.493
1040,200,1.506
1041,200,1.481
1043,200,2.833
1043,200,1.397
1043,200,1.792
1043,200,1.493
1043,200,1.579
1043,200,1.514
1045,200,2.352
1048,200,2.613
1048,200,1.401
1050,200,2.633
1050,200,1.39
1050,200,1.429
1050,200,1.436
1050,200,1.394
1050,200,1.478
1050,200,1.591
1053,200,2.562
1053,200,1.62
1055,200,2.679
1060,200,2.619
1060,200,1.382
1063,200,2.598
1064,200,1.561
1066,200,2.581
1067,200,1.553
1069,200,2.52
1070,200,1.543
1070,200,1.467
1072,200,2.522
1073,200,1.642
1076,200,2.878
1077,200,1.644
1078,200,1.578
1080,200,2.973
1080,200,1.494
1086,200,36.457
1086,200,36.306
1086,200,38.213
1086,200,1.495
1089,200,2.632
1089,200,1.747
1089,200,1.436
1090,200,1.611
1091,200,1.68
1092,200,1.651
1095,200,3.698
1095,200,1.601
1097,200,2.584
1097,200,1.481
1097,200,1.461
1098,200,1.556
1099,200,1.544
1099,200,1.544
1099,200,1.517
1099,200,1.597
1100,200,1.636
1100,200,1.484
1100,200,1.481
1100,200,1.788
1100,200,1.542
1100,200,1.625
1100,200,1.559
1101,200,2.488
1102,200,1.65
1104,200,2.717
1105,200,1.68
1105,200,1.621
1106,200,1.658
1108,200,2.979
1110,200,2.733
1110,200,1.538
1111,200,1.725
1113,200,2.628
1113,200,1.535
1113,200,1.531
1113,200,1.626
1115,200,2.569
1115,200,1.644
1115,200,1.634
1116,200,1.636
1116,200,1.574
1116,200,1.529
1117,200,1.601
1117,200,1.522
1117,200,1.591
1120,200,2.799
1120,200,1.54
1121,200,1.652
1121,200,1.539
1121,200,1.571
1121,200,1.642
1122,200,1.506
1122,200,1.662
1124,200,2.563
1124,200,1.662
1124,200,1.535
1127,200,2.688
1127,200,1.629
1129,200,2.704
1136,200,36.317
1136,200,36.903
1136,200,36.366
1136,200,35.639
1136,200,35.315
1136,200,1.474
1136,200,1.461
1136,200,1.485
1137,200,1.442
1138,200,1.534
1139,200,1.649
1139,200,1.403
1139,200,1.395
1140,200,1.61
1142,200,2.71
1142,200,1.475
1143,200,1.529
1144,200,1.474
1145,200,1.62
1146,200,1.528
1148,200,2.809
1149,200,1.501
1150,200,1.514
1152,200,2.552
1152,200,1.39
1152,200,1.457
1152,200,1.387
1152,200,1.517
1152,200,1.463
1152,200,1.42
1153,200,1.486
1155,200,2.503
1158,200,2.504
1158,200,1.437
1160,200,2.59
1161,200,1.53
1161,200,1.431
1162,200,1.541
1162,200,1.776
1162,200,2.199
1163,200,1.588
1164,200,2.092
1164,200,2.609
1166,200,2.607
1167,200,1.452
1167,200,1.791
1169,200,2.574
1171,200,2.656
1171,200,1.439
1174,200,2.636
1175,200,1.612
1175,200,1.503
1176,200,1.611
1177,200,1.522
1177,200,1.509
1177,200,1.539
1177,200,1.494
1177,200,1.53
1178,200,1.632
1180,200,2.689
1182,200,2.64
1182,200,1.422
1182,200,1.57
1182,200,1.43
1182,200,1.422
1183,200,1.522
1183,200,1.512
1184,200,1.569
1185,200,1.927
1187,200,2.64
1187,200,1.421
1188,200,1.503
1188,200,1.483
1189,200,1.618
1190,200,1.543
1190,200,1.479
1190,200,1.489
1190,200,1.6
1190,200,3.301
1190,200,1.831
1190,200,1.531
1190,200,1.479
1190,200,1.632
1190,200,1.537
1190,200,1.64
1191,200,2.631
1191,200,2.01
1191,200,1.529
1191,200,1.487
1192,200,1.565
1192,200,2.0
1192,200,1.387
1195,200,3.017
1196,200,1.525
1197,200,1.497
1197,200,1.615
1197,200,1.482
1200,200,2.642
1200,200,1.685
1200,200,1.46
1209,200,36.625
1211,200,2.493
1212,200,1.629
1213,200,1.523
1214,200,1.492
1214,200,1.708
1217,200,2.616
1217,200,1.453
1217,200,1.498
1219,200,2.333
1220,200,1.564
1220,200,1.466
1220,200,1.576
1221,200,1.447
1227,200,37.88
1228,200,1.656
1228,200,1.636
1228,200,1.617
1228,200,1.508
1229,200,1.528
1230,200,1.501
1230,200,1.682
1233,200,2.56
1233,200,1.996
1235,200,2.51
1235,200,1.635
1236,200,1.478
1236,200,1.521
1236,200,1.514
1236,200,1.542
1236,200,1.443
1237,200,1.421
1238,200,1.578
1240,200,2.739
1240,200,1.62
1241,200,1.476
1242,200,1.602
1242,200,1.61
1243,200,1.458
1243,200,1.488
1243,200,1.637
1243,200,1.464
1244,200,1.46
1244,200,2.6
1245,200,1.558
1248,200,2.685
1250,200,2.697
1250,200,1.765
1250,200,1.605
1251,200,1.48
1251,200,1.656
1251,200,1.6
1252,200,1.492
1253,200,1.543
1253,200,1.538
1253,200,1.54
1254,200,1.422
1255,200,2.752
1255,200,1.543
1255,200,1.543
1256,200,1.498
1256,200,1.756
1258,200,2.667
1263,200,2.949
1265,200,2.657
1265,200,1.522
1265,200,2.252
1265,200,1.84
1266,200,1.452
1266,200,1.592
1267,200,1.414
1267,200,1.568
1268,200,1.399
1268,200,1.429
1268,200,1.402
1268,200,1.451
1268,200,1.551
1268,200,1.412
1268,200,1.385
1268,200,1.386
1269,200,2.451
1269,200,1.418
1269,200,1.594
1269,200,1.45
1271,200,2.426
1271,200,1.649
1275,200,2.685
1277,200,2.564
1277,200,1.658
1279,200,2.467
1280,200,1.579
1280,200,1.475
1280,200,1.508
1282,200,2.627
1283,200,1.53
1285,200,2.767
1285,200,1.645
1286,200,1.469
1287,200,1.464
1288,200,1.641
1288,200,1.912
1289,200,1.676
1289,200,2.327
1293,200,3.068
1294,200,1.506
1294,200,1.654
1295,200,1.537
1295,200,1.761
1296,200,1.5
1296,200,1.679
1297,200,1.553
1298,200,2.817
1298,200,1.692
1299,200,1.43
1300,200,1.528
1300,200,1.547
1300,200,1.47
1301,200,1.458
1301,200,1.975
1303,200,2.718
1305,200,2.633
1307,200,2.639
1310,200,2.727
1312,200,2.561
1313,200,1.553
1313,200,1.413
1313,200,1.534
1313,200,1.474
1315,200,2.605
1315,200,1.465
1315,200,1.468
1315,200,1.589
1315,200,1.46
1316,200,1.505
1316,200,1.491
1316,200,1.508
1317,200,1.427
1317,200,1.627
1318,200,1.562
1319,200,1.532
1319,200,2.58
1319,200,1.568
1320,200,1.434
1321,200,1.498
1321,200,1.391
1321,200,1.406
1321,200,1.47
1321,200,1.402
1322,200,1.465
1325,200,2.777
1326,200,1.554
1326,200,1.392
1326,200,1.445
1326,200,1.469
1326,200,1.409
1327,200,1.394
1327,200,1.584
1328,200,1.379
1328,200,1.574
1329,200,1.381
1329,200,2.387
1329,200,1.479
1330,200,1.374
1330,200,1.432
1330,200,1.388
1330,200,1.566
1330,200,1.434
1334,200,2.837
1334,200,1.567
1336,200,2.34
1338,200,2.552
1338,200,1.541
1339,200,1.412
1340,200,1.499
1343,200,2.537
1343,200,1.451
1343,200,1.362
1343,200,1.464
1343,200,1.743
1343,200,1.478
1343,200,1.404
1343,200,1.425
1344,200,1.395
1349,200,2.957
1349,200,1.421
1349,200,1.462
1349,200,1.462
1349,200,1.443
1350,200,1.44
1350,200,1.577
1352,200,2.412
1352,200,1.468
1352,200,1.544
1353,200,1.472
1353,200,1.398
1353,200,1.537
1354,200,1.389
1355,200,1.547
1355,200,1.456
1355,200,1.448
1355,200,1.498
1355,200,1.484
1358,200,35.977
1365,200,37.128
1366,200,1.502
1366,200,1.604
1367,200,1.59
1369,200,2.704
1369,200,1.628
1370,200,1.579
1370,200,1.525
1370,200,1.681
1370,200,1.482
1372,200,2.544
1374,200,2.874
1374,200,1.491
1374,200,1.519
1374,200,1.568
1374,200,1.605
1374,200,1.542
1374,200,1.613
1374,200,1.515
1376,200,2.625
1376,200,1.502
1376,200,1.549
1377,200,1.491
1378,200,1.705
1379,200,1.534
1381,200,2.685
1381,200,1.675
1382,200,1.518
1383,200,1.582
1383,200,1.54
1383,200,1.621
1383,200,1.511
1384,200,1.565
1386,200,2.526
1386,200,1.526
1386,200,1.525
1387,200,1.456
1387,200,1.547
1388,200,1.471
1388,200,1.458
1388,200,1.491
1388,200,1.529
1388,200,1.538
1389,200,1.456
1389,200,1.564
1390,200,1.475
1390,200,2.642
1392,200,2.553
1397,200,2.645
1397,200,1.439
1397,200,1.767
1398,200,1.542
1399,200,1.697
1399,200,1.624
1399,200,1.647
1399,200,1.871
1401,200,2.685
1401,200,1.528
1402,200,1.531
1403,200,1.608
1403,200,1.501
1403,200,1.645
1403,200,1.641
1403,200,1.533
1403,200,1.545
1405,200,2.666
1406,200,1.669
1407,200,1.62
1407,200,1.689
1407,200,1.61
1410,200,2.746
1410,200,1.646
1413,200,2.915
1416,200,2.605
1416,200,1.686
1419,200,2.618
1419,200,1.688
1419,200,1.626
1420,200,1.532
1420,200,1.629
1421,200,1.537
1422,200,1.61
1422,200,1.52
1422,200,1.627
1422,200,1.583
1423,200,1.617
1424,200,2.707
1424,200,1.568
1424,200,1.685
1426,200,2.586
1426,200,1.583
1426,200,1.554
1426,200,1.68
1426,200,1.474
1426,200,1.46
1429,200,2.586
1429,200,1.607
1430,200,1.491
1431,200,1.687
1431,200,1.714
1432,200,1.605
1433,200,1.606
1433,200,2.606
1434,200,1.529
1434,200,1.542
1434,200,1.648
1434,200,1.531
1435,200,1.488
1436,200,1.63
1437,200,1.592
1438,200,1.667
1438,200,2.726
1439,200,1.528
1439,200,1.53
1439,200,1.562
1439,200,1.649
1439,200,1.608
1439,200,1.56
1440,200,1.639
